botanist,cycle,images,last_watered,name,origin_location,plant_id,recording_taken,scientific_name,soil_moisture,sunlight,temperature
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '+1-114-709-5518x591'}",Perennial,"{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'medium_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/medium/2560px-Epipremnum_aureum_31082012.jpg', 'original_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/og/2560px-Epipremnum_aureum_31082012.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/regular/2560px-Epipremnum_aureum_31082012.jpg', 'small_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/small/2560px-Epipremnum_aureum_31082012.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/thumbnail/2560px-Epipremnum_aureum_31082012.jpg'}","Wed, 10 May 2023 14:03:04 GMT",Epipremnum Aureum,"['-19.32556', '-41.25528', 'Resplendor', 'BR', 'America/Sao_Paulo']",0,2023-05-11 09:31:39,['Epipremnum aureum'],32.12443139593418,['Part shade'],13.172281007217553
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-564-664-4625x980'}",,,"Wed, 10 May 2023 13:54:32 GMT",Venus flytrap,"['33.95015', '-118.03917', 'South Whittier', 'US', 'America/Los_Angeles']",1,2023-05-11 09:31:41,,30.483007373031498,,12.033516281667612
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '305.202.6602'}",,,"Wed, 10 May 2023 14:10:54 GMT",Corpse flower,"['7.65649', '4.92235', 'Efon-Alaaye', 'NG', 'Africa/Lagos']",2,2023-05-11 09:31:42,,36.62577189990901,,9.135300447363635
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '555.943.7122x0977'}",,,"Wed, 10 May 2023 14:50:16 GMT",Rafflesia arnoldii,"['-19.32556', '-41.25528', 'Resplendor', 'BR', 'America/Sao_Paulo']",3,2023-05-11 09:31:43,,35.36230903073967,,19.550605978930996
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '001-822-722-0801x58789'}",,,"Wed, 10 May 2023 13:16:25 GMT",Black bat flower,"['13.70167', '-89.10944', 'Ilopango', 'SV', 'America/El_Salvador']",4,2023-05-11 09:31:44,,27.515034251491045,,11.330540881557495
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '296-732-7322'}",Herbaceous Perennial,"{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'medium_url': 'https://perenual.com/storage/species_image/7190_sarracenia_catesbaei/medium/Sarracenia_x_catesbaei_x_psittacina_Kapturnica_2014-06-19_01.jpg', 'original_url': 'https://perenual.com/storage/species_image/7190_sarracenia_catesbaei/og/Sarracenia_x_catesbaei_x_psittacina_Kapturnica_2014-06-19_01.jpg', 'regular_url': 'https://perenual.com/storage/species_image/7190_sarracenia_catesbaei/regular/Sarracenia_x_catesbaei_x_psittacina_Kapturnica_2014-06-19_01.jpg', 'small_url': 'https://perenual.com/storage/species_image/7190_sarracenia_catesbaei/small/Sarracenia_x_catesbaei_x_psittacina_Kapturnica_2014-06-19_01.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/7190_sarracenia_catesbaei/thumbnail/Sarracenia_x_catesbaei_x_psittacina_Kapturnica_2014-06-19_01.jpg'}","Wed, 10 May 2023 14:56:18 GMT",Pitcher plant,"['22.88783', '84.13864', 'Jashpurnagar', 'IN', 'Asia/Kolkata']",5,2023-05-11 09:31:46,['Sarracenia catesbaei'],36.68082636991485,['Full sun'],11.191626551652769
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '772.448.3783'}",Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/8360_wollemia_nobilis/medium/30129534108_43db758803_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/8360_wollemia_nobilis/og/30129534108_43db758803_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/8360_wollemia_nobilis/regular/30129534108_43db758803_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/8360_wollemia_nobilis/small/30129534108_43db758803_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/8360_wollemia_nobilis/thumbnail/30129534108_43db758803_b.jpg'}","Wed, 10 May 2023 13:35:35 GMT",Wollemi pine,"['43.86682', '-79.2663', 'Markham', 'CA', 'America/Toronto']",6,2023-05-11 09:31:48,['Wollemia nobilis'],33.48169880722891,['Part shade'],10.969325044785851
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '+1-271-181-9601x61816'}",Herbaceous Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/3404_heliconia_schiedeana_fire_and_ice/medium/52233116449_9b56243a59_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/3404_heliconia_schiedeana_fire_and_ice/og/52233116449_9b56243a59_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/3404_heliconia_schiedeana_fire_and_ice/regular/52233116449_9b56243a59_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/3404_heliconia_schiedeana_fire_and_ice/small/52233116449_9b56243a59_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/3404_heliconia_schiedeana_fire_and_ice/thumbnail/52233116449_9b56243a59_b.jpg'}","Wed, 10 May 2023 13:23:01 GMT",Bird of paradise,"['5.27247', '-3.59625', 'Bonoua', 'CI', 'Africa/Abidjan']",8,2023-05-11 09:31:40,"[""Heliconia schiedeana 'Fire and Ice'""]",27.913114183896624,"['Full sun', 'part shade']",11.530804359768261
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-179-989-7480x27002'}",Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/5809_pereskia_grandifolia/medium/27487227123_a9b4d90e13_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/5809_pereskia_grandifolia/og/27487227123_a9b4d90e13_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5809_pereskia_grandifolia/regular/27487227123_a9b4d90e13_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5809_pereskia_grandifolia/small/27487227123_a9b4d90e13_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5809_pereskia_grandifolia/thumbnail/27487227123_a9b4d90e13_b.jpg'}","Wed, 10 May 2023 14:12:43 GMT",Cactus,"['50.9803', '11.32903', 'Weimar', 'DE', 'Europe/Berlin']",9,2023-05-11 09:31:42,['Pereskia grandifolia'],32.81162608599034,"['Full sun', 'part shade']",24.368851437827896
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '5979199309'}",,,"Wed, 10 May 2023 13:04:57 GMT","Dragon tree,","['43.50891', '16.43915', 'Split', 'HR', 'Europe/Zagreb']",10,2023-05-11 09:31:44,,29.019231102217944,,13.952078178342058
